
Loaded txt
1944360
  0%|          | 0/10000 [00:00<?, ?it/s]
/home/sujaynair/RaCA-SOC-a-spectrum-analysis/RaCA-SOC-a/Step9/models.py:56: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  ms = self.smax(y_mlp);
Validation Loss: 9.13203984964639e-06
Validation Loss: 7.968545105541125e-06
Validation Loss: 1.1792728400905617e-05
Validation Loss: 9.415915883437265e-06
Validation Loss: 9.019381650432479e-06
Validation Loss: 1.023845743475249e-05
Validation Loss: 9.003352715808433e-06
Validation Loss: 8.37034713185858e-06
Validation Loss: 1.1373642337275669e-05
Validation Loss: 9.787885574041866e-06
Validation Loss: 1.0101185580424499e-05
Validation Loss: 1.3766099073109217e-05
Validation Loss: 8.860681191436015e-06
Validation Loss: 1.5207247088255826e-05
Validation Loss: 7.161896974139381e-06
Validation Loss: 1.3041335478192195e-05
Validation Loss: 9.807075912249275e-06
Validation Loss: 9.121453331317753e-06
Validation Loss: 8.792065273155458e-06
Validation Loss: 1.0302011105522979e-05
Validation Loss: 7.537053079431644e-06
Validation Loss: 9.226518159266561e-06
Validation Loss: 9.76869705482386e-06
Validation Loss: 1.3436847439152189e-05
Validation Loss: 9.787777344172355e-06
Validation Loss: 1.2477480595407542e-05
Validation Loss: 1.1833906683023088e-05
Validation Loss: 1.0629621101543307e-05
Validation Loss: 1.072197119356133e-05
Validation Loss: 7.664279110031202e-06
Validation Loss: 1.0944469067908358e-05
Validation Loss: 9.709840924188029e-06
Validation Loss: 1.3393974768405315e-05
Validation Loss: 9.658179806137923e-06
Validation Loss: 7.719814675510861e-06
Validation Loss: 1.2693929420493077e-05
Validation Loss: 8.041826731641777e-06
Validation Loss: 1.0692708201531786e-05
Validation Loss: 1.0365025445935316e-05
Validation Loss: 1.210842401633272e-05
Validation Loss: 1.0195605682383757e-05
Validation Loss: 1.1958459253946785e-05
Validation Loss: 1.3057479009148665e-05
Validation Loss: 1.1167603588546626e-05
Validation Loss: 1.0508456398383714e-05
Validation Loss: 9.879770004772581e-06
Validation Loss: 1.3036913514952175e-05
Validation Loss: 1.05946828625747e-05
Validation Loss: 2.2449808966484852e-05
Validation Loss: 1.8575658032204956e-05
Validation Loss: 1.0072888471768238e-05
Validation Loss: 9.717445209389552e-06
Validation Loss: 1.3009201211389154e-05
Validation Loss: 1.1697457011905499e-05
Validation Loss: 9.030248293129262e-06
Validation Loss: 7.633430868736468e-06
Validation Loss: 9.71406370808836e-06
Validation Loss: 1.3698281691176817e-05
Validation Loss: 1.0841776202141773e-05
Validation Loss: 1.5570709365420043e-05
Validation Loss: 9.08084348338889e-06
Validation Loss: 1.062463616108289e-05
Validation Loss: 9.027182386489585e-06
Validation Loss: 1.4662333342130296e-05
Validation Loss: 1.0998223842761945e-05
Validation Loss: 8.312720638059545e-06
Validation Loss: 1.1347503459546715e-05
Validation Loss: 1.3615022908197716e-05
Validation Loss: 1.686964424152393e-05
Validation Loss: 1.0307093361916486e-05
Validation Loss: 1.1388362509023864e-05
Validation Loss: 1.1030162568204105e-05
Validation Loss: 9.62414105742937e-06
Validation Loss: 9.414367923454847e-06
Epoch [300/10000], Loss: 2.743840695984545e-06
Validation Loss: 1.0686289897421375e-05
Validation Loss: 1.3125712939654477e-05
Validation Loss: 1.02352305475506e-05
Validation Loss: 1.4567167454515584e-05
Validation Loss: 9.621901881473605e-06
Validation Loss: 1.3380904420046136e-05
Validation Loss: 1.3139579095877707e-05
Validation Loss: 9.872665032162331e-06
Validation Loss: 1.2584974683704786e-05
Validation Loss: 8.451447683910374e-06
Validation Loss: 8.14223585621221e-06
Validation Loss: 7.295610430446686e-06
Validation Loss: 1.0680322702683043e-05
Validation Loss: 9.620267519494519e-06
Validation Loss: 1.5292729585780762e-05
Validation Loss: 1.1960922165599186e-05
Validation Loss: 9.318253432866186e-06
Validation Loss: 1.2214802154630888e-05
Validation Loss: 9.166044947050977e-06
Validation Loss: 1.040870301949326e-05
Validation Loss: 1.7114702131948434e-05
Validation Loss: 1.2172400602139533e-05
Validation Loss: 8.930095646064728e-06
Validation Loss: 8.079824510787148e-06
Validation Loss: 1.2422883628460113e-05
Validation Loss: 1.16194833026384e-05
Validation Loss: 1.1834674296551384e-05
Validation Loss: 8.54082918522181e-06
Validation Loss: 1.36455892061349e-05
Validation Loss: 1.525152038084343e-05
Validation Loss: 1.1539357728906907e-05
Validation Loss: 1.0249033039144706e-05
Validation Loss: 7.778437066008337e-06
Validation Loss: 1.3348312677408103e-05
Validation Loss: 1.1246788744756486e-05
Validation Loss: 1.4378737432707567e-05
Validation Loss: 9.957911061064806e-06
Validation Loss: 1.4428404938371386e-05
Validation Loss: 9.803726243262645e-06
Validation Loss: 8.521333256794605e-06
Validation Loss: 1.0915673556155525e-05
Validation Loss: 9.667808626545593e-06
Validation Loss: 7.555148386018118e-06
Validation Loss: 9.424779818800744e-06
Validation Loss: 9.818285434448626e-06
Validation Loss: 1.1664556041068863e-05
Validation Loss: 1.0690369890653528e-05
Validation Loss: 9.97736060526222e-06
Validation Loss: 8.356432772416156e-06
Validation Loss: 2.1662764993379824e-05
Validation Loss: 8.109621376206633e-06
Validation Loss: 1.1536475540196989e-05
Validation Loss: 9.897701602312736e-06
Validation Loss: 9.05286015040474e-06
Validation Loss: 9.744710041559301e-06
Validation Loss: 1.0969595678034239e-05
Validation Loss: 1.1559251106518786e-05
Validation Loss: 9.157940439763479e-06
Validation Loss: 7.89353816799121e-06
Validation Loss: 8.226281352108344e-06
Validation Loss: 8.298580723931082e-06
Validation Loss: 1.0379716513853054e-05
Validation Loss: 8.156525836966466e-06
Validation Loss: 1.4040816495253239e-05
Validation Loss: 9.759030945133418e-06
Validation Loss: 1.0878549801418558e-05
Validation Loss: 1.223912931891391e-05
Validation Loss: 1.527947279100772e-05
Validation Loss: 8.514365617884323e-06
Validation Loss: 9.877781849354506e-06
Validation Loss: 1.043322936311597e-05
Validation Loss: 8.174037247954402e-06
Validation Loss: 9.703379873826634e-06
Validation Loss: 8.655956662551034e-06
Validation Loss: 8.110618182399776e-06
Validation Loss: 1.0370044947194401e-05
Validation Loss: 8.66653226694325e-06
Validation Loss: 9.937991308106575e-06
Validation Loss: 1.2445155334717128e-05
Validation Loss: 1.0545863005972933e-05
Validation Loss: 1.1621376870607492e-05
Validation Loss: 9.175447303277906e-06
Validation Loss: 1.1391040061425883e-05
Validation Loss: 1.5252750017680228e-05
Validation Loss: 9.423089068150148e-06
Validation Loss: 1.6438709280919284e-05
Validation Loss: 1.1832880772999488e-05
Validation Loss: 8.117605830193497e-06
Validation Loss: 1.104320563172223e-05
Validation Loss: 8.809990504232701e-06
Validation Loss: 9.155260158877354e-06
Validation Loss: 1.1732842722267378e-05
Validation Loss: 1.2687776688835584e-05
Validation Loss: 9.149714969680645e-06
Validation Loss: 1.3057067008048762e-05
Validation Loss: 1.4037602340977173e-05
Validation Loss: 1.9876348233083263e-05
Validation Loss: 1.1872277354996186e-05
Validation Loss: 9.83552945399424e-06
Validation Loss: 1.426080780220218e-05
Epoch [400/10000], Loss: 2.6465672817721497e-06
Validation Loss: 1.3285761269798968e-05
Validation Loss: 1.42629723995924e-05
