
Loaded txt
Using 1D Conv Model with Uncertainties
  0%|          | 0/1000 [00:00<?, ?it/s]
Epoch 61: Encoder Loss: 0.0502, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0372, Decoder Loss: 0.0000
Epoch 62: Encoder Loss: 0.0444, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0397, Decoder Loss: 0.0000
Epoch 63: Encoder Loss: 0.0423, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0374, Decoder Loss: 0.0000
Epoch 64: Encoder Loss: 0.0437, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0336, Decoder Loss: 0.0000
Epoch 65: Encoder Loss: 0.0399, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0388, Decoder Loss: 0.0000
Epoch 66: Encoder Loss: 0.0397, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0309, Decoder Loss: 0.0000
Epoch 67: Encoder Loss: 0.0370, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0400, Decoder Loss: 0.0000
Epoch 68: Encoder Loss: 0.0351, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0302, Decoder Loss: 0.0000
Epoch 69: Encoder Loss: 0.0337, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0432, Decoder Loss: 0.0000
Epoch 70: Encoder Loss: 0.0343, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0252, Decoder Loss: 0.0000
Epoch 71: Encoder Loss: 0.0317, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0489, Decoder Loss: 0.0000
Epoch 72: Encoder Loss: 0.0290, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0239, Decoder Loss: 0.0000
Epoch 73: Encoder Loss: 0.0281, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0435, Decoder Loss: 0.0000
Epoch 74: Encoder Loss: 0.0275, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0257, Decoder Loss: 0.0000
Epoch 75: Encoder Loss: 0.0258, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0204, Decoder Loss: 0.0000
Epoch 76: Encoder Loss: 0.0266, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0272, Decoder Loss: 0.0000
Epoch 77: Encoder Loss: 0.0244, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0189, Decoder Loss: 0.0000
Epoch 78: Encoder Loss: 0.0221, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0258, Decoder Loss: 0.0000
Epoch 79: Encoder Loss: 0.0206, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0208, Decoder Loss: 0.0000
Epoch 80: Encoder Loss: 0.0211, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0241, Decoder Loss: 0.0000
Epoch 81: Encoder Loss: 0.0205, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0158, Decoder Loss: 0.0000
Epoch 82: Encoder Loss: 0.0194, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0188, Decoder Loss: 0.0000
Epoch 83: Encoder Loss: 0.0185, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0197, Decoder Loss: 0.0000
Epoch 84: Encoder Loss: 0.0190, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0281, Decoder Loss: 0.0000
Epoch 85: Encoder Loss: 0.0165, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0150, Decoder Loss: 0.0000
Epoch 86: Encoder Loss: 0.0167, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0134, Decoder Loss: 0.0000
Epoch 87: Encoder Loss: 0.0178, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0315, Decoder Loss: 0.0000
Epoch 88: Encoder Loss: 0.0141, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0163, Decoder Loss: 0.0000
Epoch 89: Encoder Loss: 0.0154, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0190, Decoder Loss: 0.0000
Epoch 90: Encoder Loss: 0.0157, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0185, Decoder Loss: 0.0000
Epoch 91: Encoder Loss: 0.0137, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0195, Decoder Loss: 0.0000
Epoch 92: Encoder Loss: 0.0140, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0099, Decoder Loss: 0.0000
Epoch 93: Encoder Loss: 0.0127, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0104, Decoder Loss: 0.0000
Epoch 94: Encoder Loss: 0.0133, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0138, Decoder Loss: 0.0000
Epoch 95: Encoder Loss: 0.0124, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0133, Decoder Loss: 0.0000
Epoch 96: Encoder Loss: 0.0118, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0124, Decoder Loss: 0.0000
Epoch 97: Encoder Loss: 0.0133, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0120, Decoder Loss: 0.0000
Epoch 98: Encoder Loss: 0.0127, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0087, Decoder Loss: 0.0000
Epoch 99: Encoder Loss: 0.0121, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0083, Decoder Loss: 0.0000
Epoch 100: Encoder Loss: 0.0110, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0189, Decoder Loss: 0.0000
Epoch 101: Encoder Loss: 0.0107, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0110, Decoder Loss: 0.0000
Epoch 102: Encoder Loss: 0.0114, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0111, Decoder Loss: 0.0000
Epoch 103: Encoder Loss: 0.0114, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0113, Decoder Loss: 0.0000
Epoch 104: Encoder Loss: 0.0115, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0083, Decoder Loss: 0.0000
Epoch 105: Encoder Loss: 0.0105, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0102, Decoder Loss: 0.0000
Epoch 106: Encoder Loss: 0.0100, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0078, Decoder Loss: 0.0000
Epoch 107: Encoder Loss: 0.0100, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0069, Decoder Loss: 0.0000
Epoch 108: Encoder Loss: 0.0102, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0070, Decoder Loss: 0.0000
Epoch 109: Encoder Loss: 0.0095, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0123, Decoder Loss: 0.0000
Epoch 110: Encoder Loss: 0.0096, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0081, Decoder Loss: 0.0000
Epoch 111: Encoder Loss: 0.0097, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0109, Decoder Loss: 0.0000
Epoch 112: Encoder Loss: 0.0086, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0106, Decoder Loss: 0.0000
Epoch 113: Encoder Loss: 0.0105, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0061, Decoder Loss: 0.0000
Epoch 114: Encoder Loss: 0.0089, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0143, Decoder Loss: 0.0000
Epoch 115: Encoder Loss: 0.0092, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0068, Decoder Loss: 0.0000
Epoch 116: Encoder Loss: 0.0087, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0074, Decoder Loss: 0.0000
Epoch 117: Encoder Loss: 0.0093, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0110, Decoder Loss: 0.0000
Epoch 118: Encoder Loss: 0.0087, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0061, Decoder Loss: 0.0000
Epoch 119: Encoder Loss: 0.0079, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0071, Decoder Loss: 0.0000
Epoch 120: Encoder Loss: 0.0085, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0072, Decoder Loss: 0.0000
Epoch 121: Encoder Loss: 0.0089, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0072, Decoder Loss: 0.0000
Epoch 122: Encoder Loss: 0.0085, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0063, Decoder Loss: 0.0001
Epoch 123: Encoder Loss: 0.0081, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0075, Decoder Loss: 0.0000
Epoch 124: Encoder Loss: 0.0090, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0055, Decoder Loss: 0.0000
Epoch 125: Encoder Loss: 0.0076, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0053, Decoder Loss: 0.0000
Epoch 126: Encoder Loss: 0.0074, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0106, Decoder Loss: 0.0000
Epoch 127: Encoder Loss: 0.0102, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0117, Decoder Loss: 0.0000
Epoch 128: Encoder Loss: 0.0077, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0051, Decoder Loss: 0.0000
Epoch 129: Encoder Loss: 0.0078, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0054, Decoder Loss: 0.0000
Epoch 130: Encoder Loss: 0.0080, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0074, Decoder Loss: 0.0000
Epoch 131: Encoder Loss: 0.0075, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0049, Decoder Loss: 0.0000
Epoch 132: Encoder Loss: 0.0072, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0056, Decoder Loss: 0.0001
Epoch 133: Encoder Loss: 0.0072, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0083, Decoder Loss: 0.0000
Epoch 134: Encoder Loss: 0.0072, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0080, Decoder Loss: 0.0000
Epoch 135: Encoder Loss: 0.0070, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0067, Decoder Loss: 0.0000
Epoch 136: Encoder Loss: 0.0064, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0050, Decoder Loss: 0.0000
Epoch 137: Encoder Loss: 0.0068, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0073, Decoder Loss: 0.0000
Epoch 138: Encoder Loss: 0.0074, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0072, Decoder Loss: 0.0000
Epoch 139: Encoder Loss: 0.0065, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0081, Decoder Loss: 0.0000
Epoch 140: Encoder Loss: 0.0066, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0046, Decoder Loss: 0.0000
Epoch 141: Encoder Loss: 0.0065, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0044, Decoder Loss: 0.0000
Epoch 142: Encoder Loss: 0.0064, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0052, Decoder Loss: 0.0000
Epoch 143: Encoder Loss: 0.0070, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0064, Decoder Loss: 0.0000
Epoch 144: Encoder Loss: 0.0065, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0048, Decoder Loss: 0.0000
Epoch 145: Encoder Loss: 0.0062, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0041, Decoder Loss: 0.0000
Epoch 146: Encoder Loss: 0.0068, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0053, Decoder Loss: 0.0000
Epoch 147: Encoder Loss: 0.0061, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0041, Decoder Loss: 0.0000
Epoch 148: Encoder Loss: 0.0059, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0071, Decoder Loss: 0.0000
Epoch 149: Encoder Loss: 0.0056, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0056, Decoder Loss: 0.0000
Epoch 150: Encoder Loss: 0.0059, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0043, Decoder Loss: 0.0000
Epoch 151: Encoder Loss: 0.0065, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0046, Decoder Loss: 0.0000
Epoch 152: Encoder Loss: 0.0059, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0048, Decoder Loss: 0.0000
Epoch 153: Encoder Loss: 0.0057, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0094, Decoder Loss: 0.0000
Epoch 154: Encoder Loss: 0.0057, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0095, Decoder Loss: 0.0000
Epoch 155: Encoder Loss: 0.0056, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0099, Decoder Loss: 0.0000
Epoch 156: Encoder Loss: 0.0055, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0038, Decoder Loss: 0.0000
Epoch 157: Encoder Loss: 0.0052, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0050, Decoder Loss: 0.0001
Epoch 158: Encoder Loss: 0.0054, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0036, Decoder Loss: 0.0000
Epoch 159: Encoder Loss: 0.0054, Decoder Loss: 0.0000
