
Loaded txt
Using 1D Conv Model with Uncertainties
  0%|          | 0/10000 [00:00<?, ?it/s]
Validation - Encoder Loss: 0.1079, Decoder Loss: 0.0005
Epoch 74: Encoder Loss: 0.2022, Decoder Loss: 0.0007
Validation - Encoder Loss: 0.1186, Decoder Loss: 0.0007
Epoch 75: Encoder Loss: 0.1730, Decoder Loss: 0.0006
Validation - Encoder Loss: 0.1060, Decoder Loss: 0.0004
Epoch 76: Encoder Loss: 0.1615, Decoder Loss: 0.0006
Validation - Encoder Loss: 0.1059, Decoder Loss: 0.0004
Epoch 77: Encoder Loss: 0.1522, Decoder Loss: 0.0006
Validation - Encoder Loss: 0.1546, Decoder Loss: 0.0010
Epoch 78: Encoder Loss: 0.1608, Decoder Loss: 0.0006
Validation - Encoder Loss: 0.1392, Decoder Loss: 0.0005
Epoch 79: Encoder Loss: 0.1559, Decoder Loss: 0.0006
Validation - Encoder Loss: 0.1304, Decoder Loss: 0.0008
Epoch 80: Encoder Loss: 0.1581, Decoder Loss: 0.0006
Validation - Encoder Loss: 0.1316, Decoder Loss: 0.0006
Epoch 81: Encoder Loss: 0.1400, Decoder Loss: 0.0005
Validation - Encoder Loss: 0.1033, Decoder Loss: 0.0004
Epoch 82: Encoder Loss: 0.1568, Decoder Loss: 0.0005
Validation - Encoder Loss: 0.1039, Decoder Loss: 0.0004
Epoch 83: Encoder Loss: 0.1611, Decoder Loss: 0.0005
Validation - Encoder Loss: 0.1645, Decoder Loss: 0.0005
Epoch 84: Encoder Loss: 0.1451, Decoder Loss: 0.0005
Validation - Encoder Loss: 0.1028, Decoder Loss: 0.0005
Epoch 85: Encoder Loss: 0.1542, Decoder Loss: 0.0006
Validation - Encoder Loss: 0.1245, Decoder Loss: 0.0004
Epoch 86: Encoder Loss: 0.1432, Decoder Loss: 0.0005
Validation - Encoder Loss: 0.1905, Decoder Loss: 0.0003
Epoch 87: Encoder Loss: 0.1659, Decoder Loss: 0.0005
Validation - Encoder Loss: 0.1047, Decoder Loss: 0.0004
Epoch 88: Encoder Loss: 0.1428, Decoder Loss: 0.0005
Validation - Encoder Loss: 0.1306, Decoder Loss: 0.0004
Epoch 89: Encoder Loss: 0.1331, Decoder Loss: 0.0005
Validation - Encoder Loss: 0.1309, Decoder Loss: 0.0005
Epoch 90: Encoder Loss: 0.1426, Decoder Loss: 0.0005
Validation - Encoder Loss: 0.1143, Decoder Loss: 0.0005
Epoch 91: Encoder Loss: 0.1413, Decoder Loss: 0.0004
Validation - Encoder Loss: 0.1007, Decoder Loss: 0.0003
Epoch 92: Encoder Loss: 0.1480, Decoder Loss: 0.0005
Validation - Encoder Loss: 0.1008, Decoder Loss: 0.0005
Epoch 93: Encoder Loss: 0.1549, Decoder Loss: 0.0005
Validation - Encoder Loss: 0.1304, Decoder Loss: 0.0005
Epoch 94: Encoder Loss: 0.1494, Decoder Loss: 0.0004
Validation - Encoder Loss: 0.1054, Decoder Loss: 0.0005
Epoch 95: Encoder Loss: 0.1456, Decoder Loss: 0.0004
Validation - Encoder Loss: 0.0945, Decoder Loss: 0.0006
Epoch 96: Encoder Loss: 0.1372, Decoder Loss: 0.0004
Validation - Encoder Loss: 0.1330, Decoder Loss: 0.0004
Epoch 97: Encoder Loss: 0.1374, Decoder Loss: 0.0004
Validation - Encoder Loss: 0.0963, Decoder Loss: 0.0005
Epoch 98: Encoder Loss: 0.1364, Decoder Loss: 0.0004
Validation - Encoder Loss: 0.0948, Decoder Loss: 0.0003
Epoch 99: Encoder Loss: 0.1477, Decoder Loss: 0.0004
Validation - Encoder Loss: 0.1176, Decoder Loss: 0.0003
Epoch 100: Encoder Loss: 0.1317, Decoder Loss: 0.0004
Validation - Encoder Loss: 0.1835, Decoder Loss: 0.0005
Epoch 101: Encoder Loss: 0.1384, Decoder Loss: 0.0004
Validation - Encoder Loss: 0.1376, Decoder Loss: 0.0008
Epoch 102: Encoder Loss: 0.1407, Decoder Loss: 0.0004
Validation - Encoder Loss: 0.1378, Decoder Loss: 0.0004
Epoch 103: Encoder Loss: 0.1305, Decoder Loss: 0.0004
Validation - Encoder Loss: 0.3385, Decoder Loss: 0.0003
Epoch 104: Encoder Loss: 0.1170, Decoder Loss: 0.0004
Validation - Encoder Loss: 0.0972, Decoder Loss: 0.0003
Epoch 105: Encoder Loss: 0.1265, Decoder Loss: 0.0004
Validation - Encoder Loss: 0.0893, Decoder Loss: 0.0003
Epoch 106: Encoder Loss: 0.1182, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0932, Decoder Loss: 0.0003
Epoch 107: Encoder Loss: 0.1216, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.1191, Decoder Loss: 0.0003
Epoch 108: Encoder Loss: 0.1214, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.1341, Decoder Loss: 0.0003
Epoch 109: Encoder Loss: 0.1206, Decoder Loss: 0.0004
Validation - Encoder Loss: 0.1002, Decoder Loss: 0.0003
Epoch 110: Encoder Loss: 0.1224, Decoder Loss: 0.0004
Validation - Encoder Loss: 0.1222, Decoder Loss: 0.0004
Epoch 111: Encoder Loss: 0.1201, Decoder Loss: 0.0004
Validation - Encoder Loss: 0.0862, Decoder Loss: 0.0003
Epoch 112: Encoder Loss: 0.1163, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.1017, Decoder Loss: 0.0003
